variant_id,product_id,size,color,sku,price,stock_qty,weight_g
1001,101,XS,White,101-WHI-XS,24.0,9,400
1002,101,S,White,101-WHI-S,24.0,26,520
1003,101,M,White,101-WHI-M,24.0,22,220
1004,101,L,White,101-WHI-L,26.0,23,260
1005,101,XL,White,101-WHI-XL,26.0,35,400
1006,101,XS,Black,101-BLA-XS,24.0,11,180
1007,101,S,Black,101-BLA-S,24.0,36,180
1008,101,M,Black,101-BLA-M,24.0,19,400
1009,101,L,Black,101-BLA-L,26.0,9,220
1010,101,XL,Black,101-BLA-XL,26.0,27,400
1011,101,XS,Navy,101-NAV-XS,24.0,33,180
1012,101,S,Navy,101-NAV-S,24.0,14,260
1013,101,M,Navy,101-NAV-M,24.0,11,320
1014,101,L,Navy,101-NAV-L,26.0,14,320
1015,101,XL,Navy,101-NAV-XL,26.0,31,260
1016,102,XS,Sand,102-SAN-XS,58.0,33,260
1017,102,S,Sand,102-SAN-S,58.0,11,320
1018,102,M,Sand,102-SAN-M,58.0,39,320
1019,102,L,Sand,102-SAN-L,60.0,32,260
1020,102,XL,Sand,102-SAN-XL,60.0,11,520
1021,102,XS,Sky,102-SKY-XS,58.0,12,520
1022,102,S,Sky,102-SKY-S,58.0,40,520
1023,102,M,Sky,102-SKY-M,58.0,23,180
1024,102,L,Sky,102-SKY-L,60.0,17,400
1025,102,XL,Sky,102-SKY-XL,60.0,29,520
1026,102,XS,White,102-WHI-XS,58.0,32,260
1027,102,S,White,102-WHI-S,58.0,35,400
1028,102,M,White,102-WHI-M,58.0,38,220
1029,102,L,White,102-WHI-L,60.0,40,180
1030,102,XL,White,102-WHI-XL,60.0,36,520
1031,103,XS,Oat,103-OAT-XS,32.0,26,220
1032,103,S,Oat,103-OAT-S,32.0,10,400
1033,103,M,Oat,103-OAT-M,32.0,17,520
1034,103,L,Oat,103-OAT-L,34.0,10,180
1035,103,XL,Oat,103-OAT-XL,34.0,26,400
1036,103,XS,Charcoal,103-CHA-XS,32.0,10,520
1037,103,S,Charcoal,103-CHA-S,32.0,10,520
1038,103,M,Charcoal,103-CHA-M,32.0,29,320
1039,103,L,Charcoal,103-CHA-L,34.0,9,180
1040,103,XL,Charcoal,103-CHA-XL,34.0,28,400
1041,103,XS,Rose,103-ROS-XS,32.0,22,520
1042,103,S,Rose,103-ROS-S,32.0,31,520
1043,103,M,Rose,103-ROS-M,32.0,27,180
1044,103,L,Rose,103-ROS-L,34.0,11,180
1045,103,XL,Rose,103-ROS-XL,34.0,35,260
1046,104,XS,Heather Grey,104-HEA-XS,64.0,27,180
1047,104,S,Heather Grey,104-HEA-S,64.0,30,180
1048,104,M,Heather Grey,104-HEA-M,64.0,38,260
1049,104,L,Heather Grey,104-HEA-L,66.0,30,220
1050,104,XL,Heather Grey,104-HEA-XL,66.0,26,320
1051,104,XS,Black,104-BLA-XS,64.0,13,220
1052,104,S,Black,104-BLA-S,64.0,18,520
1053,104,M,Black,104-BLA-M,64.0,23,220
1054,104,L,Black,104-BLA-L,66.0,32,400
1055,104,XL,Black,104-BLA-XL,66.0,30,400
1056,104,XS,Forest,104-FOR-XS,64.0,11,520
1057,104,S,Forest,104-FOR-S,64.0,13,220
1058,104,M,Forest,104-FOR-M,64.0,37,220
1059,104,L,Forest,104-FOR-L,66.0,9,180
1060,104,XL,Forest,104-FOR-XL,66.0,25,220
1061,105,XS,Ivory,105-IVO-XS,49.0,21,320
1062,105,S,Ivory,105-IVO-S,49.0,24,260
1063,105,M,Ivory,105-IVO-M,49.0,40,520
1064,105,L,Ivory,105-IVO-L,51.0,11,520
1065,105,XL,Ivory,105-IVO-XL,51.0,23,180
1066,105,XS,Emerald,105-EME-XS,49.0,25,520
1067,105,S,Emerald,105-EME-S,49.0,19,260
